name,address,category,phone,email,website,lat,lng,keyword
Shilp,,public_building,,,,23.0328924,72.5604427,Web development companies in Ahmedabad
City Centre,,public_building,,,,23.0406632,72.5567409,Web development companies in Ahmedabad
Navdeep,,public_building,,,,23.0405777,72.5687511,Web development companies in Ahmedabad
Memnagar Fire Station,,fire_station,,,,23.0455062,72.5510013,Web development companies in Ahmedabad
Jalaram Mandir,,place_of_worship,,,,23.0180339,72.5617653,Web development companies in Ahmedabad
Suvidha Shopping Centre,,convenience,,,,23.0144556,72.5591462,Web development companies in Ahmedabad
Jivraj Mehta Hospital,,hospital,,,,23.0085819,72.5432503,Web development companies in Ahmedabad
"Bhimnath Mahadev, Shiv Temple",,place_of_worship,,,,23.0119553,72.5499794,Web development companies in Ahmedabad
Paldi Bus Stand,,bus_station,,,,23.0140725,72.5645878,Web development companies in Ahmedabad
"Adlabs, BIG Cinema",,cinema,,,,23.0465768,72.531028,Web development companies in Ahmedabad
Sterling Hospital Div. Of Addlife Medical Institute Pvt. Ltd.,"Sterling Hospital Building, Off Gurukul Road, B/H. Drive In Cinema, Memnagar",hospital,9825181745,,,23.0487566,72.5312683,Web development companies in Ahmedabad
Vishala,,restaurant,,,,22.9936417,72.5357058,Web development companies in Ahmedabad
Rajvadu Restaurant,,restaurant,,,,23.0042051,72.5397742,Web development companies in Ahmedabad
10 (Ten) Acres Mall,,supermarket,,,,23.01524,72.5965751,Web development companies in Ahmedabad
,,clothes,,,,23.0182439,72.60021,Web development companies in Ahmedabad
"Jagannath Mandir, Temple",,place_of_worship,,,,23.0114213,72.5810755,Web development companies in Ahmedabad
Chandkheda,,post_box,,,,23.107121,72.5848584,Web development companies in Ahmedabad
,,cinema,,,,23.0923921,72.5938017,Web development companies in Ahmedabad
,,hospital,,,,23.0924908,72.5917525,Web development companies in Ahmedabad
Sant Asharamji Ashram,,place_of_worship,,,,23.0931619,72.6024491,Web development companies in Ahmedabad
,,restaurant,,,,23.0648296,72.5821405,Web development companies in Ahmedabad
Staff Parking,,parking,,,,23.0113878,72.5687751,Web development companies in Ahmedabad
Amphitheatre,,theatre,,,,23.0111829,72.5707945,Web development companies in Ahmedabad
,,bench,,,,23.011309,72.569162,Web development companies in Ahmedabad
,,place_of_worship,,,,23.0110649,72.5705432,Web development companies in Ahmedabad
,,fountain,,,,23.011213,72.5694487,Web development companies in Ahmedabad
,,toilets,,,,23.0112987,72.5694693,Web development companies in Ahmedabad
,,atm,,,,23.0116557,72.5687622,Web development companies in Ahmedabad
Temple,,place_of_worship,,,,23.0151595,72.5666935,Web development companies in Ahmedabad
,,place_of_worship,,,,23.0141905,72.5682822,Web development companies in Ahmedabad
,,post_box,,,,23.0606452,72.5804476,Web development companies in Ahmedabad
,,place_of_worship,,,,23.0238654,72.590076,Web development companies in Ahmedabad
Arihant Agency,,convenience,,,,23.0235904,72.5912229,Web development companies in Ahmedabad
Vidyarthi,,books,,,,23.0248237,72.5902915,Web development companies in Ahmedabad
Mangaldas Ni Haveli,,restaurant,,,,23.0227338,72.5920852,Web development companies in Ahmedabad
McDonald's,,fast_food,,,,23.0317635,72.5701852,Web development companies in Ahmedabad
Cyber Cafe,,cafe,,,,23.0422876,72.5699576,Web development companies in Ahmedabad
"Medilink Hospital, Ahmedabad","132 Ft. Ring Road, Nr Shyamal Char Rasta, Opposite Someshver Jain Temple",hospital,,,,23.0173915,72.5304396,Web development companies in Ahmedabad
City Gold Shyamal,132 Ft. Ring Road,cinema,,,,23.0156527,72.5301088,Web development companies in Ahmedabad
Medilink Medical Store,,pharmacy,,,,23.0172124,72.5303877,Web development companies in Ahmedabad
Manikarnikeshwar Mahadev Temple,,place_of_worship,,,,22.9978398,72.6073978,Web development companies in Ahmedabad
Chai Gate,,bench,,,,23.0120139,72.5691915,Web development companies in Ahmedabad
,,toilets,,,,23.0112778,72.5709613,Web development companies in Ahmedabad
,,fuel,,,,22.8593456,72.0482474,Web development companies in Ahmedabad
029,,bank,,,,22.927361,72.4466514,Web development companies in Ahmedabad
Cafe Souq,,restaurant,,,,23.0410467,72.5485619,Web development companies in Ahmedabad
Chocolate Room,,cafe,,,,23.0407234,72.5485324,Web development companies in Ahmedabad
"Barrista, Vijay 4 Roads",,cafe,,,,23.0427079,72.5494685,Web development companies in Ahmedabad
Cafe Coffee Day,,cafe,,,,23.0312796,72.5493907,Web development companies in Ahmedabad
Upper Crust Cafe,Vijay Cross Roads,restaurant,91-79-26401554,contact@cafeuppercrust.com,https://www.cafeuppercrust.com/,23.0412121,72.5485673,Web development companies in Ahmedabad
Health Center,,hospital,,,,23.1039413,72.5679365,Web development companies in Ahmedabad
D-cabin,,bus_station,,,,23.1023628,72.5702646,Web development companies in Ahmedabad
Vallabhpark,,bus_station,,,,23.101524,72.576519,Web development companies in Ahmedabad
Bharat Kirana Stores,JUNA MADHUPURA ROAD,convenience,,,,23.0380231,72.5889014,Web development companies in Ahmedabad
Chai Gate!!!,,cafe,,,,23.0120603,72.5691606,Web development companies in Ahmedabad
Exhibition & Spatial Design,Paldi,school,,,,23.0113752,72.5699733,Web development companies in Ahmedabad
Ahmedabad Historic Gujari Bazaar (Sunday Market),,marketplace,,,,23.0244067,72.5768457,Web development companies in Ahmedabad
Amul,,fast_food,,,,23.0116852,72.568823,Web development companies in Ahmedabad
Design Gallery,,arts_centre,,,,23.011756,72.5690409,Web development companies in Ahmedabad
HP Fuel Station,,fuel,,,,23.0331106,72.5139509,Web development companies in Ahmedabad
Indian Bank,,bank,,,https://www.indianbank.in/,23.0323231,72.511317,Web development companies in Ahmedabad
State Bank of India,,atm,,,,23.0263264,72.5077538,Web development companies in Ahmedabad
Kendriya Vidyalaya SAC,,school,,,,23.0370691,72.5337334,Web development companies in Ahmedabad
Dinner Bell,,restaurant,,,,23.0457522,72.5524611,Web development companies in Ahmedabad
Apollo Pharmacy,,pharmacy,,,,23.0456657,72.5522734,Web development companies in Ahmedabad
"State Bank of India, St. Xavier's School Road Branch",,bank,,,,23.0458191,72.5523558,Web development companies in Ahmedabad
Sahajanand College,,school,,,,23.0258294,72.5430971,Web development companies in Ahmedabad
Prabhudas Thakkar College,,school,,,,23.0033486,72.5669236,Web development companies in Ahmedabad
Ahmedabad Institute Of Medical Services (Aims),"P.N.House, Near Shantivan Bus Stand,Narayan Nagar Road,Behind Nid, Paldi",hospital,,,,23.0033217,72.5639517,Web development companies in Ahmedabad
Indian Bank,,bank,,,https://www.indianbank.in/,23.0047261,72.5645714,Web development companies in Ahmedabad
Ansh Petrol Pump,,fuel,,,,23.0045263,72.5644882,Web development companies in Ahmedabad
Shushtrut Hospital,,hospital,,,,23.0090048,72.56227,Web development companies in Ahmedabad
,,place_of_worship,,,,23.0034536,72.5651766,Web development companies in Ahmedabad
Central Bank of India,,bank,,,https://www.centralbankofindia.co.in,23.0471515,72.5527534,Web development companies in Ahmedabad
Kalupur Commercial Co-operative Bank,,bank,,,,23.0453324,72.5517832,Web development companies in Ahmedabad
"Law Office of Kamalesh J Vora, Advocate",Vrajraiji Colony,lawyer,,,,23.0467356,72.5484961,Web development companies in Ahmedabad
Akhbarnagar petrol pump,,fuel,,,,23.0684998,72.5619985,Web development companies in Ahmedabad
Havmor Restaurant,,restaurant,,,,23.0376713,72.565775,Web development companies in Ahmedabad
Natural Ice Cream,Law Garden Road,fast_food,,sale@orgifarm.comdsadasdas,https://naturalicecreams.in/,23.0328812,72.5655478,Web development companies in Ahmedabad
Crossword Book Store,Law Garden Road,books,,estore@crossword.in,https://www.crossword.in/,23.0327479,72.5653869,Web development companies in Ahmedabad
Agashiye Restaurant,,restaurant,,team@cityandtalent.com,https://houseofmg.com/,23.0270378,72.5816167,Web development companies in Ahmedabad
Bank of Baroda,,bank,,,http://www.bankofbaroda.com,23.0058514,72.5910422,Web development companies in Ahmedabad
Bhakti Infrastructure ,100 ft Road,government,,,,23.0522355,72.6809831,Web development companies in Ahmedabad
